Job Title,Company,Link,Date
Data Science Evangelist,CanTeen,ca.indeed.com/rc/clk?jk=6b07b3f167c0f2d1&fccid=5bf26602e36c6a02&vjs=3,Today
Data Scientist - Customer Insights Data & Analytics,Scotiabank,ca.indeed.com/rc/clk?jk=7c0f4b7437092fc2&fccid=3002307a9e5b4706&vjs=3,Posted 1 day ago
Data Scientist,CancerCare Manitoba,ca.indeed.com/rc/clk?jk=d67817be97dd7f97&fccid=b75d6efc5f8a2219&vjs=3,Today
Senior Data Scientist,NielsenIQ,ca.indeed.com/rc/clk?jk=ce0e95ac7d22112f&fccid=f8c8e23b0630e4f8&vjs=3,Today
Data Scientist Lead,Encore Theme,ca.indeed.com/rc/clk?jk=9a2257558ac3e6ea&fccid=68467f8543d168c0&vjs=3,Posted 1 day ago
Staff Machine Learning Platform Engineer,Faire,ca.indeed.com/rc/clk?jk=c2fb6882c8cb0686&fccid=f3a36f726f745c17&vjs=3,Posted 1 day ago
Junior Data Science Specialist - MAP,St. Michael's Hospital,ca.indeed.com/rc/clk?jk=e9d58b632a221494&fccid=8e32d72489a91f47&vjs=3,Just posted
Machine Learning Developer,Tetra Tech,ca.indeed.com/rc/clk?jk=ff6663e49f6943e7&fccid=997110e6d9c4c093&vjs=3,Today
Senior Machine Learning Scientist (Layer 6),TD Bank,ca.indeed.com/rc/clk?jk=f62f59f16f2a05dd&fccid=d7114f1cac8d0711&vjs=3,Just posted
"Engineering Manager, Machine Learning - Computer Vision (Rem...",BenchSci,ca.indeed.com/rc/clk?jk=5c78d831b4070308&fccid=cb94cfaf4856cc5b&vjs=3,Just posted
Stagiaire en recherche PNL / NLP Research Intern,Nuance,ca.indeed.com/rc/clk?jk=dacb534975634448&fccid=70a7f49a5b57c331&vjs=3,Just posted
Assistant Professor - Data Science Methods for Population He...,University of Toronto,ca.indeed.com/rc/clk?jk=c23ecfea5228e113&fccid=986361104086c3ae&vjs=3,Posted 1 day ago
"Senior Developer, Data Science",Bell Canada,ca.indeed.com/rc/clk?jk=86f23863a5844474&fccid=6d9b8e75dfffb17e&vjs=3,Posted 1 day ago
"Senior Consultant, Predictive Analytics - Canadian Tire Corp...","Canadian Tire Corporation, Limited",ca.indeed.com/rc/clk?jk=ad574eb6d593c4b8&fccid=2e16043297423070&vjs=3,Today
"Tech Lead, Machine Learning - Computer Vision (Remote)",BenchSci,ca.indeed.com/rc/clk?jk=102933dcbc63befc&fccid=cb94cfaf4856cc5b&vjs=3,Just posted
SENIOR DATA SOLUTIONS INTEGRATOR (TEAM LEAD DATA SCIENCE - S...,City of Toronto,ca.indeed.com/rc/clk?jk=fa5aac34a05ce92e&fccid=f2087b51205d4920&vjs=3,Today
BI Analyst & Report Developer,Avenue Living Asset Management,ca.indeed.com/rc/clk?jk=0e89371394a403ef&fccid=8ea14f5b77f077a0&vjs=3,Just posted
Sr. Consultant Machine Learning Engineer,Avanade,ca.indeed.com/rc/clk?jk=962e0a8b62668469&fccid=5386281035076fdf&vjs=3,Posted 1 day ago
Senior Applied Research Scientist (Time Series) - ATG,ServiceNow,ca.indeed.com/rc/clk?jk=dabaf7e77c30bcef&fccid=7442885bc0fa7c14&vjs=3,Today
Senior Machine Learning Developer - ATG,ServiceNow,ca.indeed.com/rc/clk?jk=1802deb998144021&fccid=7442885bc0fa7c14&vjs=3,Today
Sr. Data Analyst,FIN Tech Minds,ca.indeed.com/company/FIN-Tech-Minds/jobs/Senior-Data-Analyst-2de6dabd5857a841?fccid=4e787bdeef0eddc8&vjs=3,Just posted
Data Analyst,Spring Financial Inc.,ca.indeed.com/rc/clk?jk=36538663f6da8381&fccid=297e320ef15b3b11&vjs=3,Today
Data Scientist - Climate Risk Modeling,Zesty.ai,ca.indeed.com/rc/clk?jk=cabe4a0fcbe130d5&fccid=46e789a2786c8da1&vjs=3,Posted 1 day ago
Data Scientist (remote),Ample Insight Inc.,ca.indeed.com/rc/clk?jk=fb2007e3f80cbe48&fccid=e40a09eae1804257&vjs=3,Posted 1 day ago
Senior Data Scientist - Natural Language Processing,Constant Contact,ca.indeed.com/rc/clk?jk=8c11c9627ff68660&fccid=9a0b2870fdc25136&vjs=3,Just posted
Data Scientist Lead,Wipro Limited,ca.indeed.com/rc/clk?jk=6e2d9afb5a13ffc8&fccid=8d25321c1defe73f&vjs=3,Today
Lead Data Scientist (remote),Ample Insight Inc.,ca.indeed.com/rc/clk?jk=30a2a5714af9f7b2&fccid=e40a09eae1804257&vjs=3,Posted 1 day ago
Senior Data Scientist - Climate Risk Modeling,Zesty.ai,ca.indeed.com/rc/clk?jk=299b6fb515eaf876&fccid=46e789a2786c8da1&vjs=3,Just posted
Senior Data Scientist,3E,ca.indeed.com/rc/clk?jk=eb4164514ae26ff6&fccid=df3d7a725078b910&vjs=3,Today
Data Analyst Co-op,Semios,ca.indeed.com/rc/clk?jk=0bb0767e5709d73e&fccid=d84702342d4b0d8f&vjs=3,Posted 1 day ago
Analytics Engineer,Environics Analytics,ca.indeed.com/rc/clk?jk=f12a76548804355f&fccid=49005a395d6896bc&vjs=3,Posted 1 day ago
"Manager, Data Engineering / Data Science",BDO,ca.indeed.com/rc/clk?jk=24dbf197f1310f7b&fccid=3639654bd4055c70&vjs=3,Today
Analytics Developer (Hybrid) - JavaScript Required,ClickInsight,ca.indeed.com/company/ClickInsight/jobs/Analytic-Developer-253400cda00053c3?fccid=d4de2ad55e10d950&vjs=3,Today
Product Data Scientist,Binance.US,ca.indeed.com/rc/clk?jk=ba0aa90c94b7e40e&fccid=b963fa42311e9195&vjs=3,Posted 1 day ago
"Software Team Lead, Machine Learning",Avidbots,ca.indeed.com/rc/clk?jk=41448952c025d773&fccid=90ab560e6260a022&vjs=3,Today
Software Developer / Devéloppeur logiciels - Computer Vision,Genetec,ca.indeed.com/rc/clk?jk=d1cbde2b1f1487e8&fccid=e16211e0013c0ecd&vjs=3,Posted 1 day ago
